Path,Canonical,Transcript,Error_GT
L2_arctic_WAV/ABA_arctic_a0003,"[22, 8, 33, 4, 12, 36, 39, 5, 30, 36, 25, 6, 10, 36, 14, 6, 29, 4, 41, 36, 25, 38, 30, 6, 7, 4, 12, 36, 37, 29, 5, 30, 9, 11, 27, 24, 41, 30, 17, 40]","[22, 8, 33, 4, 12, 36, 39, 5, 30, 36, 25, 6, 10, 36, 14, 6, 29, 4, 41, 36, 25, 38, 30, 6, 7, 27, 4, 12, 36, 37, 29, 5, 30, 9, 11, 27, 24, 41, 30, 34, 34]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
L2_arctic_WAV/ABA_arctic_a0005,"[39, 6, 28, 39, 25, 5, 38, 1, 22, 8, 33, 23, 5, 36, 6, 36]","[39, 6, 28, 39, 25, 5, 38, 2, 22, 8, 33, 23, 5, 36, 5, 36]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
L2_arctic_WAV/ABA_arctic_a0006,"[23, 3, 17, 16, 28, 5, 34, 2, 29, 14, 6, 24, 31, 11, 32, 14, 6, 28, 23, 31, 11, 8, 30, 34, 25, 6, 7, 4, 5, 29, 22, 1, 5, 38, 1]","[23, 3, 17, 16, 28, 5, 34, 4, 2, 29, 14, 6, 24, 31, 11, 32, 14, 6, 28, 23, 31, 11, 8, 30, 34, 25, 6, 7, 4, 5, 29, 22, 1, 5, 38, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
L2_arctic_WAV/ABA_arctic_a0007,"[41, 30, 17, 26, 37, 8, 28, 39, 25, 40, 39, 8, 30, 36, 36, 37, 34, 25, 6, 36, 6, 30, 4, 2, 34, 11, 32, 1, 28, 2, 36, 6, 38, 17, 6, 23, 33, 25]","[41, 30, 17, 26, 37, 8, 28, 39, 25, 40, 39, 8, 30, 36, 36, 37, 34, 25, 5, 36, 5, 30, 4, 2, 34, 11, 16, 1, 28, 2, 36, 6, 38, 17, 6, 23, 33, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L2_arctic_WAV/ABA_arctic_a0008,"[23, 41, 17, 26, 11, 33, 28, 5, 36, 1, 27, 19, 6, 29, 18, 12, 34, 36, 6, 30, 36, 14, 6, 29]","[23, 41, 17, 26, 11, 33, 28, 5, 36, 33, 27, 19, 6, 29, 18, 12, 34, 36, 6, 30, 36, 14, 6, 29]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L2_arctic_WAV/ABA_arctic_a0010,"[14, 6, 29, 32, 28, 19, 6, 6, 7, 2, 34, 6, 7, 23, 2, 28, 24, 41, 30, 17, 6, 30, 39, 12, 36, 28, 11, 27, 34, 28, 14, 6, 27, 2, 28, 37, 40, 6, 7, 23, 19, 6, 29]","[14, 6, 29, 32, 28, 19, 6, 6, 7, 2, 34, 6, 7, 23, 2, 28, 24, 41, 30, 17, 6, 30, 39, 12, 36, 28, 11, 27, 34, 28, 14, 6, 27, 2, 28, 37, 40, 6, 7, 23, 19, 6, 29]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L2_arctic_WAV/ABA_arctic_a0011,"[6, 22, 14, 6, 5, 38, 1, 30, 25, 17, 6, 17, 2, 22, 14, 6, 36, 1, 6, 30, 29, 14, 6, 28, 14, 6, 22, 14, 6, 30, 25, 17, 39, 12, 30, 30, 14, 11]","[6, 22, 14, 6, 5, 38, 2, 30, 25, 17, 6, 17, 2, 22, 14, 6, 36, 1, 6, 30, 29, 14, 6, 28, 14, 6, 22, 14, 6, 30, 25, 17, 39, 12, 30, 30, 14, 11]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L2_arctic_WAV/ABA_arctic_a0013,"[24, 25, 39, 8, 40, 2, 24, 5, 17, 9, 8, 33, 36, 1, 4, 41, 30, 24, 6, 40, 27, 2, 29, 32, 41, 30, 26, 2, 30, 12, 38, 8, 28, 29, 31, 11, 34, 36, 17, 5, 28, 2, 27, 2, 36, 22, 2, 40, 25, 27]","[24, 25, 39, 8, 40, 2, 24, 5, 17, 9, 8, 33, 36, 1, 4, 41, 30, 24, 6, 40, 27, 2, 29, 16, 41, 30, 26, 2, 30, 12, 38, 8, 28, 29, 31, 11, 34, 36, 17, 5, 28, 2, 27, 19, 6, 36, 22, 2, 40, 25, 27]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
L2_arctic_WAV/ABA_arctic_a0018,"[4, 5, 33, 39, 3, 40, 2, 35, 19, 6, 30, 18, 30, 14, 11]","[40, 5, 33, 39, 3, 40, 2, 35, 19, 6, 30, 18, 30, 14, 11]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L2_arctic_WAV/ABA_arctic_a0019,"[14, 6, 22, 3, 28, 31, 11, 17, 4, 2, 28, 14, 6, 30, 12, 38, 4, 12, 32, 33, 2, 32, 31, 11, 40, 17, 33, 19, 6, 28, 33, 31, 11, 17, 28, 11, 27, 6, 7, 22, 8, 33, 35, 41, 30, 34, 6, 40]","[14, 6, 22, 3, 28, 31, 11, 17, 4, 2, 28, 14, 6, 30, 12, 38, 4, 12, 32, 33, 2, 32, 31, 11, 40, 17, 33, 19, 6, 28, 33, 31, 11, 17, 28, 11, 27, 6, 7, 22, 8, 33, 35, 41, 30, 34, 6, 40]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
