Path,Canonical,Transcript
L2_arctic_WAV/ABA_arctic_a0003,f O r/ D V t_h w E n t_h i I T t_h a I m D { t_h i v n I N D V t_h u m E n S U k_h h { n d z,f O r/ D V t_h w E n t_h i I T t_h a I m D { t_h i v n I N k_h D V t_h u m E n S U k_h h { n s s
L2_arctic_WAV/ABA_arctic_a0005,w I l w i E v 3` f O r/ g E t_h I t_h,w I l w i E v @ f O r/ g E t_h E t_h
L2_arctic_WAV/ABA_arctic_a0006,g A d b l E s @ m a I h o U p_h a I l g o U O n s i I N D E m f 3` E v 3`,g A d b l E s D @ m a I h o U p_h a I l g o U O n s i I N D E m f 3` E v @
L2_arctic_WAV/ABA_arctic_a0007,{ n d j u O l w i z w O n t_h t_h u s i I t_h I n D @ s U p_h 3` l @ t_h I v d I g r/ i,{ n d j u O l w i z w O n t_h t_h u s i E t_h E n D @ s U b 3` l @ t_h I v d I g r/ i
L2_arctic_WAV/ABA_arctic_a0008,g { d j U r/ l E t_h 3` k_h e I m dZ V s t_h I n t_h a I m,g { d j U r/ l E t_h r/ k_h e I m dZ V s t_h I n t_h a I m
L2_arctic_WAV/ABA_arctic_a0010,a I m p_h l e I I N @ s I N g @ l h { n d I n w V t_h l U k_h s l a I k_h @ l u z I N g e I m,a I m p_h l e I I N @ s I N g @ l h { n d I n w V t_h l U k_h s l a I k_h @ l u z I N g e I m
L2_arctic_WAV/ABA_arctic_a0011,I f a I E v 3` n i d I d @ f a I t_h 3` I n m a I l a I f a I n i d w V n n a U,I f a I E v @ n i d I d @ f a I t_h 3` I n m a I l a I f a I n i d w V n n a U
L2_arctic_WAV/ABA_arctic_a0013,h i w O z @ h E d S O r/ t_h 3` D { n h I z k_h @ m p_h { n j @ n V v O l m o U s t_h d E l @ k_h @ t_h f @ z i k_h,h i w O z @ h E d S O r/ t_h 3` D { n h I z k_h @ m b { n j @ n V v O l m o U s t_h d E l @ k_h e I t_h f @ z i k_h
L2_arctic_WAV/ABA_arctic_a0018,D E r/ w A z @ tS e I n dZ n a U,z E r/ w A z @ tS e I n dZ n a U
L2_arctic_WAV/ABA_arctic_a0019,a I f A l o U d D @ l a I n V v D V p_h r/ @ p_h o U z d r/ e I l r/ o U d l U k_h I N f O r/ tS { n s I z,a I f A l o U d D @ l a I n V v D V p_h r/ @ p_h o U z d r/ e I l r/ o U d l U k_h I N f O r/ tS { n s I z
L2_arctic_WAV/ABA_arctic_a0020,k_h l V b z @ n d b O l z @ n d s I t_h i z g r/ u t_h u b i o U n l i m E m 3` i z,k_h l V b z @ n d b O l z @ n d s I t_h i z g r/ O t_h u b i o U n l i m E m r/ i z
L2_arctic_WAV/ABA_arctic_a0021,I t_h f E r/ l i k_h l V b d m i I n t_h u r/ E k_h @ g n a I z I N I t_h,I t_h f E r/ l i k_h l V b d m i I n t_h u err E k_h @ g n a I z I N k_h I t_h
L2_arctic_WAV/ABA_arctic_a0022,h A r/ d l i w 3` a U r/ p_h l { n z m e I d p_h V b l I k_h b i f O r/ w i w 3` m E t_h b a I p_h a U 3` f @ l A p_h @ z I S @ n,h A err d l i w E r/ a U r/ p_h l { n z m e I d p_h V b l I k_h b i f O r/ w i w E r/ m E t_h b a I p_h a U 3` f @ l A p_h @ z I S @ n
L2_arctic_WAV/ABA_arctic_a0023,@ k_h A m b @ n e I S @ n V v k_h @ n e I d i @ n k_h { p_h I t_h @ l k_h w I k_h l i O r/ g @ n a I z d @ n d p_h @ t_h I S @ n d f O r/ D @ s e I m p_h r/ I v l I dZ I z,@ k_h A m b @ n e I S @ n V v k_h @ n e I d i @ n k_h { p_h I t_h @ l k_h w I k_h l i O r/ g @ n a I z d @ n d p_h @ t_h I S @ n d f O r/ D @ s e I m p_h r/ I v l I dZ I z
L2_arctic_WAV/ABA_arctic_a0024,I t_h w O z m a I r/ I p_h O r/ t_h s f r/ V m D V n O r/ T h w I tS tS i f l i I n d u s t_h p_h i p_h @ l t_h u b a I,I t_h w O z m a I r/ I p_h O r/ t_h s f r/ V m D V n O r/ T h w I tS tS i f l i I n d u s t_h p_h i p_h @ l t_h u b a I
L2_arctic_WAV/ABA_arctic_a0025,a I w O z @ b a U t_h t_h u d u D I s w E n k_h u l er) dZ V dZ m @ n t_h p_h r/ i v e I l d,a I w O z @ b a U t_h t_h u d u D I s w E n k_h u l er) dZ V dZ m @ n t_h b r/ i v e I l d
L2_arctic_WAV/ABA_arctic_a0026,I t_h @ k_h 3` d t_h u m i D { t_h D E r/ w U d h { v t_h u b i { n @ k_h a U n t_h I N,I t_h o U k_h 3` d t_h u m i D { t_h D E r/ w U d h { v t_h u b i { n @ k_h a U n t_h I N
L2_arctic_WAV/ABA_arctic_a0027,t_h u m a I s 3` p_h r/ a I z h i b i g { n t_h u S o U { k_h S @ l I n T u z i { z @ m I n m a I f e I v 3`,t_h u m a I s 3` p_h r/ a I z h i b i g { n t_h u S o U { k_h S @ l I n s u s i { z @ m I n m a I f e I v @
L2_arctic_WAV/ABA_arctic_a0028,r/ A b 3` i b r/ a I b 3` i f r/ O d,r/ A b 3` i p_h r/ a I b 3` i f u t_h
L2_arctic_WAV/ABA_arctic_a0029,D E r/ f O r/ s I z w 3` O r/ E d i m u v I N I n t_h u D V n O r/ T k_h V n t_h r/ i,D I E r/ f O s I z w E r/ O r/ E d i m u v I N k_h I n t_h u D V n O r/ T k_h V n t_h r/ i
L2_arctic_WAV/ABA_arctic_a0030,a I h { d f e I T I n D E m,a I h { d f e I T I n D E m
L2_arctic_WAV/ABA_arctic_a0031,D e I w 3` T r/ i h V n d r/ I d j A r/ d z @ p_h A r/ t_h,D e I w i 3` T err i h V n d r/ I d j A err d z @ p_h A r/ t_h
L2_arctic_WAV/ABA_arctic_a0032,s I n s D E n s V m m I s t_h I r/ i @ s f O r/ s h { z b I n f a I t_h I N V s { t_h E v r/ i s t_h E p_h,s I n s D E n s V m m a I s t_h r/ E s f O r/ s h { z b I n f a I t_h I N k_h V s { t_h E v r/ i s t_h E p_h
L2_arctic_WAV/ABA_arctic_a0036,S i t_h 3` n d I n { t_h D V h o U t_h E l,S i t_h 3` n d I n { t_h D V h o U t_h E l
L2_arctic_WAV/ABA_arctic_a0037,a I w V z D V o U n l i w V n h u r/ i m e I n d s I t_h I N,a I w V z z V o U n l i w V n h u r/ i m e I n d s I t_h I N k_h
L2_arctic_WAV/ABA_arctic_a0038,w i w I l h { v t_h @ w O tS a U r/ tS { n s I z,w i w I l h { v t_h @ w O tS a U r/ tS { n s I z
L2_arctic_WAV/ABA_arctic_a0039,D @ S I p_h S U d b i I n w I T I n @ w i k_h O r/ t_h E n d e I z,D @ S I p_h S U d b i I n w I T I n @ w i k_h O r/ t_h I n d e I z
L2_arctic_WAV/ABA_arctic_a0040,a I s @ p_h o U z j u w V n d 3` h w a I S i I z k_h V m I N V p_h h i r/,a I s @ b o U z j u w V n d 3` h w a I S i I z k_h V m I N V p_h h i r/
L2_arctic_WAV/ABA_arctic_a0041,m i n w a I l a I l g o U a U t_h t_h u b r/ i D @ s p_h E l,m i n w a I l a I l g o U a U t_h t_h u p_h r/ i D @ s p_h E l
L2_arctic_WAV/ABA_arctic_a0042,h a U k_h U d h i I k_h s p_h l e I n h I z p_h @ z E S @ n V v D @ s k_h E tS,h a U k_h U d h i I k_h s b l e I n h I z p_h @ z E S @ n V v D @ s k_h E tS
L2_arctic_WAV/ABA_arctic_a0045,h i m u v d @ w e I { z k_h w a I @ t_h l i { z h i h { d k_h V m,h i m u v d @ w e I { z k_h w a I @ t_h l i { z h i h { d k_h V m
L2_arctic_WAV/ABA_arctic_a0046,D @ g 3` l f e I s t_h h I m h 3` a I z S a I n I N w I D s V d @ n f I r/,D @ g 3` l f e I s t_h h I m h r/ a I z S a I n I N k_h w I D s V d @ n f I r/
L2_arctic_WAV/ABA_arctic_a0047,k_h l o U s b I s a I d h I m g l i m d D V w a I t_h f { N z V v D V w U l f d O g,k_h l o U z b I s a I d h I m g l i m d D V w a I t_h f { N z V v D V w O l f d o U g
L2_arctic_WAV/ABA_arctic_a0048,h i l U k_h t_h { t_h D @ h { N k_h 3` tS i f m O r/ k_h l o U s l i,h i l U k_h t_h { t_h D @ h { N d k_h 3` S i f m O r/ g l o U z l i
L2_arctic_WAV/ABA_arctic_a0051,D @ l e I s w O z V v @ d E l @ k_h @ t_h a I v 3` i k_h V l 3` f e I n t_h l i t_h I n t_h I d w I D j E l o U,D @ l e I s w O z V v @ d E l @ k_h @ t_h I v O r/ i k_h V l 3` f e I n t_h l i t_h I n t_h I d w I D j e I l o U
L2_arctic_WAV/ABA_arctic_a0052,I t_h w O z @ k_h j U r/ i @ s k_h o U I n s I d @ n s,I t_h w O z @ k_h j U r/ i @ s k_h o U I n s I d @ n s
L2_arctic_WAV/ABA_arctic_a0053,s V d @ n l i h I z f I N g 3` z k_h l o U z d t_h a I t_h l i o U v 3` D @ h { N k_h 3` tS i f,s V d @ n l i h I z f I N g 3` z k_h l o U z d t_h a I t_h l i o U v 3` err D @ h { n t_h k_h 3` tS i f
L2_arctic_WAV/ABA_arctic_a0054,D E r/ w O z n V T I N O n D V r/ A k_h,D E r/ w O z n V s I N k_h O n D V r/ o U k_h
L2_arctic_WAV/ABA_arctic_a0058,a I k_h e I m f O r/ I n f 3` m e I S @ n m O r/ a U t_h V v k_h j U r/ i A s @ t_h i D { n E n i T I N E l s,a I k_h e I m f O I n f 3` m e I S @ n m O r/ a U t_h V v k_h j U err i E s @ t_h i D { n E n i T I N g E l s
L2_arctic_WAV/ABA_arctic_a0059,h I z I m { k_h j u l I t_h @ p_h I r/ @ n s w O z g O n,h I z I m { k_h j u l e I t_h @ b I r/ @ n s w O z g O n
L2_arctic_WAV/ABA_arctic_a0060,E n i w e I n o U w V n s O h 3` l a I k_h D { t_h,E n i w e I n o U w V n s O h E r/ l a I k_h D { t_h
L2_arctic_WAV/ABA_arctic_a0062,D @ m E n s t_h E r/ d I n t_h u i tS V D 3` z f e I s,D @ m E n s err E r/ d I n t_h u i tS V D err z f e I s
L2_arctic_WAV/ABA_arctic_a0063,j E s I t_h w O z @ m { n h u { s k_h t_h @ s t_h r/ e I n dZ 3`,j E s I t_h w O z @ m { n h u { s k_h @ t_h @ s t_h r/ e I n dZ 3`
L2_arctic_WAV/ABA_arctic_a0064,D V f O r/ T @ n d f I f T d e I z p_h { s t_h w I D a U t_h E n i d I v E l @ p_h m @ n t_h s,D V f O r/ T @ n d f I f T d e I z b { s t_h w I D a U t_h E n i d I v E l @ p_h m @ n t_h s
L2_arctic_WAV/ABA_arctic_a0065,D e I k_h l o U z d n a U @ n t_h I l h I z f I N g 3` z w 3` l a I k_h k_h O r/ d z V v s t_h i l,D e I k_h l o U z d n a U @ n t_h I err h I z f I N g 3` z w 3` l a I k_h k_h O r/ d s V v @ s t_h i l
L2_arctic_WAV/ABA_arctic_a0067,S U r/ l i a I w I l I k_h s k_h j u z j u S i k_h r/ a I d,S U r/ l i a I w I l I k_h s @ k_h j u z j u S i k_h err a I d
L2_arctic_WAV/ABA_arctic_a0071,w V t_h w O z D V A b dZ E k_h t_h V v j U r/ l I t_h @ l s E n s e I S @ n,w V t_h w O z D V A b Z E k_h t_h V v j U err l I t_h @ err s E n s e I S @ n
L2_arctic_WAV/ABA_arctic_a0073,D V p_h r/ @ m o U t_h 3` z a I z w 3` h E v i w I D l I t_h @ l p_h V f i b { g z V n d 3` D E m,D V b r/ u m i t_h 3` z a I z w 3` h E v i w I D l I t_h @ err p_h V f i b A g s V n d r/ D E m
